"Date","Price","Open","High","Low","Vol","Change %"
"06/09/2023","1.3341","1.3356","1.3372","1.3312","","-0.07%"
"06/08/2023","1.3351","1.3371","1.3389","1.3333","","-0.14%"
"06/07/2023","1.3370","1.3405","1.3428","1.3320","","-0.25%"
"06/06/2023","1.3403","1.3448","1.3454","1.3390","","-0.31%"
"06/05/2023","1.3445","1.3432","1.3463","1.3417","","0.16%"
"06/02/2023","1.3423","1.3453","1.3454","1.3406","","-0.20%"
"06/01/2023","1.3450","1.3572","1.3586","1.3435","","-0.90%"
"05/31/2023","1.3572","1.3600","1.3653","1.3569","","-0.18%"
"05/30/2023","1.3597","1.3592","1.3614","1.3566","","0.07%"
"05/29/2023","1.3587","1.3602","1.3620","1.3583","","-0.19%"
"05/26/2023","1.3613","1.3641","1.3656","1.3600","","-0.18%"
"05/25/2023","1.3637","1.3595","1.3646","1.3585","","0.33%"
"05/24/2023","1.3592","1.3508","1.3607","1.3494","","0.63%"
"05/23/2023","1.3507","1.3506","1.3550","1.3484","","0.02%"
"05/22/2023","1.3504","1.3499","1.3520","1.3484","","0.04%"
"05/19/2023","1.3498","1.3503","1.3525","1.3468","","-0.01%"
"05/18/2023","1.3500","1.3449","1.3526","1.3448","","0.36%"
"05/17/2023","1.3451","1.3482","1.3537","1.3436","","-0.23%"
"05/16/2023","1.3482","1.3464","1.3495","1.3404","","0.13%"
"05/15/2023","1.3465","1.3563","1.3569","1.3458","","-0.61%"
"05/12/2023","1.3548","1.3493","1.3566","1.3479","","0.42%"
"05/11/2023","1.3491","1.3370","1.3497","1.3362","","0.91%"
"05/10/2023","1.3370","1.3387","1.3415","1.3334","","-0.13%"
"05/09/2023","1.3387","1.3372","1.3407","1.3364","","0.11%"
"05/08/2023","1.3372","1.3384","1.3389","1.3314","","-0.01%"
"05/05/2023","1.3373","1.3538","1.3544","1.3370","","-1.21%"
"05/04/2023","1.3537","1.3618","1.3634","1.3519","","-0.57%"
"05/03/2023","1.3615","1.3625","1.3641","1.3582","","-0.07%"
"05/02/2023","1.3625","1.3546","1.3638","1.3527","","0.61%"
